#Tree ,MAE,RMSE,Correlation coefficient
8,35.84097748695444,40.24975785042293,0.5323758473370404
9,32.17178031260084,36.39741281987053,0.5658411036203724
10,29.834142975022075,33.82254403289159,0.6025293273094663
11,28.71567362674037,33.33501851396624,0.5653042257821751
12,29.938773704919704,34.39954065488503,0.5563568930582908
13,31.988346236847516,36.270817288687255,0.5187734306340462
14,32.07214697734223,36.358494147321004,0.4940636952126353
15,31.46152009276971,35.757546375783306,0.47548732456399684
16,31.576524384503113,35.80433123990094,0.4559299797306992
17,31.29681148226137,35.32856719426469,0.4598880623546616
18,32.05838593996988,35.82602102697387,0.4845775793459921
19,31.68877573440726,35.54004759023128,0.47617741848057077
20,30.811976556953837,34.87903772242585,0.46220803920883613
21,31.335400729361055,35.33731201201958,0.4907041435864109
22,31.70973319448653,35.57533990281974,0.5070465513444221
23,31.312615256591258,35.116994624417316,0.5100149063769451
24,31.18995254958195,35.10728091702181,0.4981859446228025
25,30.62363057308801,34.66094711854352,0.50046498284138
26,31.974821254648106,36.01818117828672,0.49181160450067485
27,32.81857748544944,36.79249079715296,0.4908688298919565
28,33.071475688916934,36.94183899527143,0.5038952715912318
29,32.56170138355199,36.52477271293184,0.5110646156802089
30,32.49914569851262,36.38726030211276,0.5199968473769936
31,31.832162931600674,35.60165651822313,0.5355722076756532
32,31.218544858676204,34.955346462107805,0.542005895525879
33,31.33862908734546,35.231252415819434,0.5239147924918129
34,31.401535440494623,35.246312069868644,0.5223980669159468
35,31.142443951718594,35.03874391547204,0.5182608486269129
36,31.106510695453924,34.975980587839835,0.5114779239966755
37,31.555743205120407,35.323517901453584,0.5145896217298874
38,31.744295534800813,35.41346299161392,0.523242271244221
39,31.302361140746086,34.90528060692656,0.5397116926226649
40,32.03092593415204,35.683757315609206,0.5322711441914141
41,31.723708013492022,35.43281172338004,0.5167441971554914
42,31.459883152283297,35.20559171830823,0.5154437860169246
43,31.179504103294775,34.98196534038887,0.5104446944736636
44,31.389499280294544,35.13819033633081,0.5187271771922928
45,31.029355980198638,34.85257379762024,0.5098729525105513
46,30.946618695936486,34.88813595039891,0.5038419419101644
47,31.39407875182433,35.38772185269398,0.4894595797195433
48,31.72850866831944,35.63718263666682,0.5032079144462243
49,31.418768231459037,35.26790848241734,0.4979132265000564
50,31.124185511502432,34.93446974242057,0.5071345181544373
51,30.911900624021992,34.700499171341065,0.5176161152402228
52,30.68527033390738,34.45398921734601,0.5190792857967302
53,30.455306766027306,34.16862181597701,0.5326469691181596
54,30.38022120297747,34.04736580204009,0.5479004618564719
55,29.948687219203716,33.62606424451951,0.5504415653158338
56,29.871355920105376,33.56928064241097,0.55332273882779
57,29.480078568297223,33.22581971551992,0.551422438122913
58,29.76421915812597,33.484318900880496,0.5458941656254648
59,29.68130621933114,33.34726510174942,0.5500400758678138
60,29.97446500456451,33.593540825565746,0.5506210034932567
61,29.83965995146376,33.4735140064518,0.543088013899546
62,30.080594548977935,33.68439119494504,0.543839068928642
63,30.078519038468396,33.62423037947978,0.5492239353974101
64,29.87646200248249,33.44789742980725,0.5423276159573871
65,29.849851254642097,33.495882996648085,0.5393730447621004
66,29.799440678011482,33.520309781250674,0.5352140353590552
67,29.6115830077526,33.34124990040422,0.5312628277241127
68,29.885921745062248,33.523389078725835,0.5361152641073365
69,30.143516526812412,33.76318477941659,0.5315438661735458
70,30.279556214184478,33.838031906561746,0.5399858953762735
71,30.13623566300337,33.68775246968791,0.5378320148771075
72,29.96455704077326,33.572442816908875,0.5360185552467509
73,29.811106420843274,33.45204589214635,0.5308871567056067
74,30.111196551299017,33.739700113132024,0.5358950507102723
75,30.297002551804948,33.85882173552776,0.543091748129196
76,30.23581177614226,33.845461496481924,0.5395058838987189
77,30.087215522945275,33.75933510372594,0.5352353708435106
78,30.1051198380177,33.734630127063284,0.5385182937108558
79,29.99477869630682,33.591892056958145,0.5478655248332595
80,29.90798466600469,33.59781730428013,0.538136488089301
81,29.715832409706238,33.46815926876628,0.5366620672993332
82,29.505597410807383,33.250006339410675,0.5361647174282088
83,29.247376424055442,33.022433054413554,0.5330816489808188
84,29.208971889276754,32.941797334585054,0.5376828697925057
85,29.267037388667305,32.961799988067064,0.5395396142346857
86,29.20902010356233,32.929657722319774,0.5366355949529072
87,29.3948334700284,33.09848659812567,0.5384473266272776
88,29.363535646505355,33.146385300487836,0.5354046567114293
89,29.613194751271546,33.36018304920858,0.5397608502395745
90,29.43194366098046,33.15807286550969,0.5415098739886411
91,29.38874474335531,33.111601113378754,0.5416249677634427
92,29.577628651836328,33.293416153459056,0.541168302909183
93,29.467856781353884,33.16145412703948,0.5493601152472836
94,29.47140842527059,33.226095210479016,0.5450690351719143
95,29.388395977480645,33.121601133890486,0.5538510130960244
96,29.303576907516177,33.04826461343018,0.5510033790254274
97,29.19634887121563,32.903086877450555,0.5544666907302129
98,29.418487885829812,33.07991296165433,0.556062826033637
99,29.63802044915062,33.285703569577336,0.5532503020062807
100,29.599820964566966,33.2766606217367,0.5510046689296723
101,29.41720661844028,33.05964333964871,0.5556755089358434
102,29.656242471557174,33.22219374989979,0.5590427372781069
103,29.823214238004045,33.370014227722706,0.5565140183162124
104,29.62342433961919,33.14882279173247,0.5603918750504632
105,29.52974636793249,33.091259748742175,0.5571028180124195
106,29.3482408941405,32.88443309058164,0.5582859347640876
107,29.277983775192144,32.81941434577446,0.5592534774443655
108,29.18157023589731,32.72245582179275,0.5601964373794158
109,29.039822813462244,32.58481881709687,0.5617245381697532
110,29.061771489920496,32.645320716145115,0.5560261787268909
111,28.942434107882775,32.54050659931805,0.5536323452099274
112,29.06610910031448,32.674900602765135,0.5538176123642392
113,29.063322941445747,32.72112306969973,0.549778112108696
114,28.953627004337555,32.6279272292165,0.5504301659084155
115,28.907838115325717,32.62521247973346,0.5459455014538721
116,28.98650553612955,32.733027436318075,0.5424809304813055
117,29.287135592408855,32.96661540226057,0.5393529894081401
118,29.053100340746816,32.72451425080316,0.5388071127886978
119,29.247102648807772,32.88835849105557,0.5368649430434597
120,29.461897944684942,33.10747681422043,0.5321047783287746
121,29.610934372711775,33.23072422977826,0.536636534426857
122,29.511108539160112,33.19629878544894,0.5313690346037835
123,29.391132292124095,33.10027122420907,0.528361678509849
124,29.46886378912757,33.182406112617066,0.5253564434959791
125,29.655319873197882,33.36977704578295,0.5236780849645226
126,29.568356355685722,33.29104620862061,0.5252941708646328
127,29.490311882610555,33.22526575899323,0.523575118886916
128,29.388519459905474,33.136016428143535,0.5231585135269142
129,29.2774869631694,32.99913897343765,0.5272339347034172
130,29.22272727778114,32.96050386786607,0.5276562283814048
131,29.161182350010026,32.9481755110309,0.5218656243991778
132,29.21711304501683,33.02706034328781,0.5207923603704285
133,29.193305171010138,33.03977484825465,0.5164439528784969
134,29.211436246735296,33.09397252679062,0.5120450327243016
135,29.254067583179232,33.10041507875071,0.5120044511910656
136,29.340149779585758,33.14885333847062,0.5153860390819299
137,29.252185601179637,33.0654353978042,0.5162249634254028
138,29.213496001412633,33.02598597968344,0.5179451673449332
139,29.278674812153863,33.03122248233856,0.5232402976502358
140,29.235252888657246,33.01754341327882,0.5180386205655911
141,29.251470066751875,33.04503456070481,0.5160482005340498
142,29.17486713787803,32.94660334150982,0.5202307941523342
143,29.141478975905862,32.930904124814866,0.5179789297229107
