#Tree ,MAE,RMSE,Correlation coefficient
8,34.94047362,47.89204983,0.302970078
9,36.63304296,48.98154942,0.304301989
10,37.60153504,49.58668109,0.24210606
11,38.86453366,49.16930226,0.251464889
12,38.66990087,48.76185108,0.240290149
13,38.52356335,48.7504893,0.245679157
14,38.7306766,48.61568685,0.21860825
15,38.1077659,48.91360646,0.225956312
16,38.59676646,49.64362196,0.211168463
17,40.22795594,50.32279035,0.198105734
18,40.04133064,50.39399234,0.230591577
19,40.41523365,50.38912692,0.277232319
20,39.8493825,50.12252633,0.275546488
21,39.61465998,49.97714276,0.267397457
22,40.15237265,50.6245994,0.282201743
23,40.01808523,50.81966222,0.279162344
24,39.59439718,50.47327904,0.273281306
25,39.54604146,50.6771764,0.272737873
26,39.04820726,50.01825248,0.294093744
27,40.75307481,51.42172071,0.286557222
28,41.7958986,52.31106964,0.286102697
29,42.33984556,52.51122344,0.281854531
30,42.0453764,52.01383851,0.293308876
31,41.86247329,52.20198743,0.290450951
32,41.23937485,51.81629278,0.300405851
33,41.06163558,51.65335716,0.312652347
34,40.37667556,50.98702043,0.318455245
35,40.0925351,50.56475716,0.321314029
36,40.41909085,50.56717798,0.32362197
37,40.73623317,51.04714252,0.320249885
38,41.39722447,51.18137608,0.315958673
39,40.80986389,50.61585129,0.324176602
40,40.52421548,50.11791352,0.311195991
41,40.49967458,50.16267768,0.323438927
42,40.60626197,50.48494295,0.327186122
43,39.86356454,49.44418213,0.33523386
44,39.55353388,49.2670438,0.338237943
45,39.21790649,48.89790786,0.333548274
46,39.26610315,48.7242647,0.332252871
47,40.15415479,49.39950319,0.329806559
48,40.17906136,49.65527584,0.327863607
49,40.75104056,50.01432349,0.330677151
50,40.79651314,50.03610113,0.329231639
51,40.67958753,50.10580526,0.33003913
52,40.18150552,49.57507559,0.334208391
53,39.74777105,48.89342626,0.339759446
54,39.69115578,49.02646532,0.342429811
55,39.38425899,48.69107952,0.344694701
56,38.89168026,48.09715534,0.350111412
57,38.75801197,48.00012506,0.350886445
58,39.14585948,48.35618332,0.349768531
59,39.09204185,48.24563989,0.342830402
60,39.11319067,48.43942164,0.340905575
61,38.67691887,47.84503378,0.348639487
62,38.37071111,47.49467359,0.348373499
63,38.40234038,47.58895262,0.347570986
64,38.10610199,47.27396822,0.347638546
65,38.27558571,47.63849847,0.344516741
66,37.7933446,47.04651278,0.350338732
67,37.91708253,47.08738408,0.341139669
68,38.02788472,47.36239844,0.338349498
69,37.89653829,47.09377504,0.334418079
70,37.52367036,46.66560403,0.334125612
71,37.4625069,46.58066093,0.329944726
72,37.42813694,46.5105823,0.332945935
73,37.24659092,46.21827085,0.332573456
74,37.12717754,46.19125921,0.331744835
75,37.10107033,46.27360484,0.328776356
76,37.19823436,46.40018987,0.328753236
77,37.27547134,46.42949435,0.324792332
78,37.01598279,46.16435417,0.332366392
79,36.86099416,46.02361773,0.336794907
80,36.76180582,45.89990438,0.337274143
81,36.6537494,45.75827569,0.340292498
82,36.67257855,45.90781393,0.33462917
83,36.96096515,45.93591288,0.334615585
84,36.91564898,45.9127081,0.334119726
85,37.2440682,46.05846761,0.331437642
86,37.13793132,45.97575942,0.33410477
87,36.80304858,45.59961633,0.336345709
88,36.58141438,45.41017931,0.338610635
89,36.60285642,45.54994781,0.342087523
90,36.45771769,45.45476302,0.342630755
91,36.53388516,45.48345561,0.33984438
92,36.44713892,45.41468864,0.341099124
93,36.44345433,45.43244228,0.33877967
94,36.2312186,45.25326603,0.340780483
95,36.25581045,45.40680264,0.340825705
96,36.09209702,45.26059764,0.342891664
97,36.13894765,45.40965942,0.34807907
98,36.11925385,45.3966526,0.348538805
99,35.86524212,45.09625708,0.351569879
