#Tree ,MAE,RMSE,Correlation coefficient
8,49.02074724,60.60943493,0.337480902
9,46.3108875,57.50762234,0.327424515
10,43.44832804,54.2809669,0.368108815
11,40.43295312,50.98986627,0.374091943
12,40.81889149,50.63792263,0.377796738
13,42.97468049,52.36806522,0.350021997
14,42.17353241,51.76283156,0.352355205
15,41.27043691,51.7184216,0.353342784
16,41.21397001,51.32905371,0.334942915
17,40.69851285,50.32691931,0.317035064
18,41.81543695,50.80027133,0.296695598
19,40.6788984,49.56629253,0.306040014
20,40.24813807,49.59942642,0.301335358
21,42.80524157,51.93506223,0.280813999
22,43.50242039,52.40920709,0.28812786
23,42.61470947,51.57307512,0.301884202
24,42.1918028,50.97045923,0.292191279
25,41.88309371,50.44399923,0.291358457
26,42.83929609,50.96692399,0.294164928
27,42.97437189,51.04599093,0.296923753
28,43.13243354,51.17661062,0.292085706
29,43.12255798,51.51644005,0.297733033
30,43.28170317,51.81445139,0.315033602
31,42.45011213,50.97278837,0.329450352
32,41.15703123,49.47498568,0.34388932
33,41.1113075,49.55866759,0.342762899
34,41.01539249,49.38656825,0.343361009
35,41.000429,49.72459114,0.346402271
36,40.87825365,49.350028,0.34256116
37,41.43543472,50.08591101,0.325623076
38,41.63126357,50.24631799,0.320152385
39,41.63860825,50.51794602,0.320600459
40,42.063171,50.59350787,0.328250111
41,41.62448958,50.08940961,0.330283178
42,41.40841718,50.0406614,0.342994041
43,40.66160101,49.11409138,0.344720892
44,40.72807048,49.15000148,0.34631078
45,40.41218395,48.96732866,0.350290299
46,39.96541558,48.60025899,0.351850977
47,40.18179651,48.70748003,0.347753457
48,40.32881655,48.42272099,0.354581897
49,39.862319,47.85660531,0.356671324
50,39.52174546,47.63773552,0.361092791
51,39.44729275,47.38293967,0.366742454
52,38.87366369,46.66667436,0.366226923
53,39.01412596,46.74346844,0.372209763
54,39.54653209,47.27252842,0.369359418
55,39.009694,46.75107945,0.372910741
56,38.94265016,46.75113109,0.379872204
57,38.54238041,46.36030548,0.374222791
58,38.63842326,46.4405985,0.37139959
59,38.64588497,46.49007167,0.368965569
60,38.8368229,46.65378898,0.373228715
61,38.86016396,46.68585519,0.373337526
62,38.77391786,46.57625437,0.377480794
63,38.69199932,46.40037152,0.381002235
64,38.42223452,46.14891075,0.379806278
65,38.1043672,45.64914838,0.387151714
66,37.98694251,45.59988963,0.385971633
67,37.99348407,45.7055271,0.383338786
68,38.19046702,45.82778942,0.381262127
69,38.50673772,46.08052477,0.374469262
70,38.82400731,46.2572547,0.377247191
71,38.63196648,46.05394377,0.377753042
72,38.48086768,46.04107883,0.384535087
73,38.1761432,45.66138409,0.389094114
74,38.63454719,45.85939477,0.392710229
75,38.7390524,45.95480725,0.390742046
76,38.65241451,45.98164502,0.394320353
77,38.58841736,45.94343841,0.390757648
78,38.65157502,46.00324253,0.381854484
79,38.924945,46.40290798,0.379322645
80,38.83586483,46.43861858,0.379524912
81,38.81209362,46.49882771,0.38038771
82,38.74015267,46.4151289,0.377005306
83,38.22008613,45.87654433,0.382879338
84,38.12023845,45.84546147,0.383914939
85,38.02131949,45.73202824,0.385238983
86,38.13781841,45.95116966,0.38108935
87,38.47832486,46.13162179,0.374772282
88,38.54292492,46.31999392,0.368189128
89,38.60568088,46.27652226,0.372155313
90,38.32684578,46.03490873,0.373582926
91,38.22452821,46.02445777,0.373607857
92,38.64546922,46.42202341,0.371862199
93,39.00555286,46.72908375,0.366236817
94,39.30291894,46.97074133,0.359637059
95,39.56287935,47.26876565,0.355817398
96,39.50328605,47.31362257,0.357140802
97,39.43877248,47.22674496,0.358037692
98,39.49165129,47.21874996,0.358506118
99,39.76544678,47.43884071,0.354226851
100,39.79496584,47.60975606,0.354301847
101,39.86703622,47.80826386,0.350713971
102,40.22803442,48.03393658,0.347274347
103,40.15792857,47.95153526,0.351734756
104,39.97955669,47.76862117,0.353835757
105,39.67893635,47.41484235,0.355442147
106,39.40907073,47.15901164,0.358637418
107,39.38054272,47.1728243,0.362908237
108,39.30743303,47.14462133,0.363866154
109,39.17898216,47.08194964,0.363098432
110,39.24793814,47.23043966,0.36256462
111,39.09141931,47.02857906,0.361746642
112,39.0437716,46.9489681,0.36532418
113,39.07255214,47.05806602,0.363954187
114,39.00138525,46.96902821,0.362522784
115,38.88884461,46.84227658,0.362081927
116,38.86155164,46.90025099,0.362860615
117,39.09791999,47.05040793,0.360308611
118,38.80533573,46.69316513,0.359611008
119,38.94718558,46.66734293,0.354796562
120,39.07380225,46.81036113,0.355858122
121,39.26778762,46.89916393,0.355959399
122,39.13988598,46.76247618,0.3535543
123,39.02811695,46.65983019,0.351904368
124,39.19333706,46.82702007,0.349860715
125,39.39972296,46.94713411,0.348183759
126,39.33707599,46.96949221,0.348519392
127,39.15972801,46.7489562,0.348868827
128,39.05360043,46.65432532,0.348482582
129,38.92045284,46.52170289,0.351472041
130,38.87844905,46.46577388,0.349680088
131,38.83368216,46.47550301,0.34867449
132,38.83480723,46.48142454,0.347507403
133,38.65175331,46.24059984,0.346840797
134,38.62121546,46.29046764,0.348146587
135,38.66812986,46.30241269,0.344101262
136,38.7463029,46.31308356,0.344687106
137,38.58381567,46.14972612,0.346853941
138,38.36879607,46.01261414,0.350101639
139,38.44179748,46.07191342,0.35157086
140,38.22711764,45.83808088,0.354845901
141,38.22995451,45.87908549,0.354966437
142,38.15053426,45.75271691,0.357982876
143,37.97129423,45.5236786,0.358202486
144,38.15920733,45.66216789,0.360481046
145,37.95400465,45.42713347,0.364319769
146,37.8541304,45.35317388,0.364551949
147,37.9318013,45.45030111,0.36621844
148,38.04609789,45.52347772,0.364562089
149,37.96325481,45.39118838,0.362498598
150,37.91368875,45.35723006,0.365498711
151,37.85469354,45.32987854,0.365909535
152,37.7928917,45.2708387,0.364964283
153,37.88659898,45.36659745,0.365089374
154,37.68180647,45.13894659,0.36771665
155,37.62632132,45.06017543,0.370423157
156,37.63139526,45.03849514,0.369028205
157,37.57295795,44.95330412,0.370348654
158,37.71387556,45.14647116,0.369426962
159,37.58261359,44.99727062,0.369825104
160,37.604591,45.02265523,0.369554906
161,37.51392238,44.94782531,0.370198364
162,37.34702349,44.73985019,0.37070637
163,37.22674668,44.60861541,0.370231644
164,37.15427146,44.49986915,0.369816706
165,37.14234275,44.54310259,0.370606545
166,37.24454244,44.69462053,0.369486466
167,37.14119911,44.58901829,0.369022564
168,37.19585912,44.68405305,0.36850037
169,37.07105824,44.53228126,0.373032478
170,37.0284394,44.57307986,0.374562213
171,37.06125125,44.5767513,0.373991111
172,37.08167945,44.56818222,0.378266624
173,37.11164639,44.64064504,0.377271678
174,37.06319639,44.59386301,0.378195157
175,37.13501475,44.60968542,0.377870222
176,37.01217702,44.47300252,0.378684482
177,36.93782253,44.41187659,0.379038825
178,36.97663444,44.52597773,0.378203717
