#Tree ,MAE,RMSE,Correlation coefficient
8,20.60539722528461,24.002005909956868,0.3761012049586997
9,20.067700938351592,23.38873762029731,0.45793470630503746
10,19.56144642611788,22.835841839707545,0.5094816664939695
11,19.645115885213954,23.361539867409412,0.44037271295519426
12,19.8736985955839,23.424838783884805,0.4536397681211184
13,19.320689467450805,22.95313693466294,0.4851248658599906
14,19.931601024160198,23.580452952155714,0.442971056277985
15,20.246889938834055,24.05191759156037,0.40163320835450295
16,20.43960526121954,24.223474601803552,0.3867779027684457
17,20.385383077333252,24.167762238103116,0.40890475949117344
18,20.12833843578941,23.620260287393208,0.4580436087725719
19,20.147899570747864,23.564967262386695,0.48409067939191236
20,20.02818897989241,23.606770742168525,0.4505620229019992
21,19.489809610479544,23.042168282447076,0.49090818767492583
22,19.416705699504273,23.00757407487457,0.4811692934926503
23,19.446926052120496,22.921650402640694,0.49212427577441514
24,19.579846146150025,22.83263588322134,0.5051388107161101
25,19.816046239697968,22.961268403180977,0.5142703394990985
26,19.663989971828773,22.711810150132585,0.5442768286715023
27,19.56158763543344,22.718591779388646,0.518169980447984
28,19.39394942408645,22.534624555378088,0.5401643485836213
29,19.36029861986994,22.371924796300675,0.5587510992912567
30,19.268297605015636,22.259172261815667,0.5756883471940076
31,19.26390409406133,22.201510908610093,0.5923415886580943
32,19.355909938401776,22.362640063589257,0.5833550875512771
33,19.25596637551438,22.437925930319363,0.5534857300004306
34,19.11292703273859,22.23372839543797,0.5752105934654369
35,19.107884013943675,22.157523006585095,0.583736523977838
36,18.897386300499857,22.020060281910027,0.5879808071610666
37,19.012453441056966,22.04837261785353,0.5890237139947495
38,18.960072062258888,22.12222376513233,0.5808706857521222
39,18.868453749570275,22.049696108441886,0.5922890880869077
40,18.808145480122512,21.924859777840517,0.6024409932044299
41,18.91446378151331,22.01347737748386,0.5941154623503698
42,18.763185267455253,21.83441868095051,0.6071852163963034
43,18.69436187329606,21.699319269309285,0.6210371703954874
44,18.6505516659251,21.55943847462123,0.6262183240902685
45,18.746916842818663,21.63020742401044,0.6274577917760611
46,18.70720017175594,21.51625056307662,0.6430720903665749
47,18.656117153547108,21.499350773956976,0.6453867673314972
48,18.499141361806227,21.29673459964424,0.6597790645302967
49,18.71816871118735,21.4903512594433,0.6507790304215787
50,18.712160836402436,21.545195286222288,0.6443179098144178
51,18.855746045447997,21.679702161702657,0.6394960914356091
52,18.77603733776991,21.668077647225292,0.6381007277101158
53,18.81906028729793,21.655241599551566,0.6419245979960646
54,18.775404947282137,21.6447998907964,0.6436087940562397
55,18.758048604608245,21.72290263054872,0.6221309563114422
56,18.83184237580155,21.79106328168994,0.6218026342428505
57,18.869122993889903,21.849992952911762,0.6184277263323068
58,18.83490490466336,21.751127901058997,0.6239952435968401
59,18.818120970107582,21.76000156006295,0.6180956164910738
60,18.85891521651823,21.759859655289667,0.6201472696948502
61,18.93356948510523,21.860487305062954,0.6109149176666742
62,18.97851219722748,21.90600183603568,0.6138447027629932
63,19.010321102584065,21.98005610320815,0.6020367701040312
64,19.124602926380682,22.092019816352284,0.5958103997728534
65,19.094650427317518,21.976067695372976,0.607906410921712
66,19.155880476668862,22.127416102974188,0.5868595314930893
67,19.061714822892196,22.01456634783948,0.5967607402172742
68,18.992706956293485,21.883760833730687,0.6096425051722664
69,18.900568661277635,21.815188254550336,0.6139143770146458
70,18.98459166750088,21.87092200673012,0.614369723395878
71,18.798948712751425,21.699770759907775,0.6234643299589173
72,18.74054913113341,21.602310803759188,0.6295949602622314
73,18.78814714187929,21.655894424093088,0.6259963326251112
74,18.747181908958783,21.60566329206348,0.6265611399782424
75,18.74140538580144,21.646777932307202,0.6177057496152382
76,18.719731334815158,21.646677494860427,0.6137836526903907
77,18.697155530961666,21.61519063170449,0.614753475729191
78,18.654510841864127,21.529006266906993,0.623437924554254
79,18.68525526050024,21.603761620002544,0.6148794474149556
80,18.68568064117256,21.66060104933601,0.6048705805481196
81,18.795528205273307,21.756133817946257,0.5955746303322823
82,18.79859818220818,21.746307606214362,0.6003466505454504
83,18.753653271329355,21.771595618188233,0.590363918695848
84,18.76188975597721,21.758680050128422,0.596074204491262
85,18.700381516085933,21.700697892260283,0.6023843600232732
86,18.69107029913421,21.638849315553134,0.6120527796898209
87,18.69699101798906,21.653636906804987,0.6146578931331382
88,18.76514840721465,21.707636011063258,0.6103249315503165
89,18.69385937971907,21.608944830512524,0.6179169562508293
90,18.689043525088604,21.580652412223557,0.6238642765046244
91,18.739387776135658,21.620101135843647,0.6233194889078603
92,18.72360611525347,21.595902362577664,0.6245602757521939
93,18.772286068324316,21.64314739168775,0.6222736367058442
94,18.862228906979514,21.73698553819078,0.6178135236610548
95,18.845157183120943,21.728984354850084,0.6164260194563453
96,18.84020307127578,21.709017658092286,0.6206263028224167
97,18.886322179961148,21.76002398076697,0.6196363115494438
98,18.865962761427664,21.773302296389314,0.6139482428914056
99,18.882696811765317,21.87295913856509,0.6026901439275265
