#Tree ,MAE,RMSE,Correlation coefficient
8,26.54730317949102,29.921519113295833,0.1508464476044669
9,26.441120409454047,29.886913441343687,0.13827574603738482
10,26.7300619376177,30.544274514386647,0.09819883294147731
11,28.603666809661874,33.3570158594475,-0.0022542792159346656
12,28.529287804238347,33.56285523624251,-0.0290309479133959
13,27.037972053791787,31.917264190480193,-0.0082874136668526
14,26.45397669545216,31.482983734708924,-0.014823286086544063
15,26.723043150886113,31.654725378784534,-0.020116385420052132
16,25.873593826469612,30.373296152204823,-0.0025621295848382714
17,24.661520296413375,29.187245203412708,0.0035958525747281796
18,23.78963542397889,28.197393714582795,0.023363951701743425
19,22.806040596209407,26.97516724999735,0.06701259857380243
20,21.73392122110333,26.021454919526157,0.08239668527970664
21,21.750971104044083,25.950395891079022,0.08467628674107458
22,22.08522818947376,26.256850023364738,0.0654371512139483
23,21.87277886379637,25.88936031764787,0.08554342362522058
24,21.491190013831787,25.29572139664602,0.10475383706260716
25,21.920694509315084,25.824774458134605,0.06879737690597397
26,22.465859481335016,26.456574612460006,0.03904277876100236
27,22.809235110557232,26.839925341647128,0.04064067137336162
28,22.487838189759643,26.44427548890191,0.051575388161612314
29,22.67853347435419,26.55672427491701,0.042816337811010755
30,23.13436690129344,27.413074650573577,-0.0034294398578839044
31,23.04110377146279,27.109921282159476,0.011989914635824644
32,23.156200949253723,27.12677118028849,0.0035755652297509263
33,23.207116670581982,27.017842201605433,0.00927575019637437
34,23.019401072176223,26.84533986899474,0.004004509387833801
35,23.34526671648772,27.45314230668032,-0.021286445882681658
36,23.579874948114504,27.864357405420773,-0.035907975318730835
37,23.234589189627332,27.74435817853605,-0.029732041402507167
38,23.147790883617496,27.58371211100936,-0.031987987958137905
39,23.098320740940007,27.667877298254016,-0.0322902682876572
40,23.417726872758923,28.34250923335559,-0.059505145104556026
41,23.341272169879126,28.40346044628958,-0.05960531681834576
42,23.880174556082054,29.28208727129044,-0.10309297072959094
43,23.966453248734993,29.410267220192537,-0.11111039726577723
44,23.671152372103233,28.908442869902476,-0.0851839658122924
45,23.454779872949622,28.664807629186814,-0.08113567366224265
46,24.074750912938075,29.29978395539306,-0.08945389428724565
47,23.9126370437486,28.969782360184144,-0.07688148310658743
48,23.737001599182133,28.76586016333194,-0.07597051217333238
49,23.36387529381445,28.359564612348258,-0.07080925756320439
50,23.12754501091287,28.02261617228689,-0.06125515577259803
51,22.864349294856982,27.627406918084883,-0.049040550188022274
52,22.91797887262924,27.670037336380968,-0.046991317148261526
53,22.795117935529625,27.43680025461381,-0.0396636457658783
54,22.85874208245029,27.497756079773435,-0.0399228664373811
55,22.75045813116843,27.491311127396227,-0.03875141398921543
56,22.915464623775982,27.703859841914763,-0.049710926593149234
57,22.955014897866114,27.89153767069374,-0.05999183163011977
58,22.979835783957913,27.961444043795566,-0.05595960452504452
59,22.853108756712363,27.794274193262794,-0.04742115597395008
60,22.736205092248643,27.65873442105058,-0.048997387411651404
61,22.878140113048747,27.82970065215597,-0.05455502204517699
62,23.035754951686556,28.089743102713523,-0.06135195337233658
63,23.366989923898807,28.460595690786498,-0.06297507856613486
64,23.43902283430448,28.55105204543252,-0.06782642664823688
65,23.434563841648853,28.454100268008315,-0.0601131662668172
66,23.6661499354382,28.748632000277286,-0.0629754647890599
67,23.750610580406086,28.888200114347402,-0.06469120193916883
68,23.811272548871894,29.00718567093757,-0.0663077775077608
69,23.676603697971856,28.875592656728415,-0.06793999584247232
70,23.909429654692374,29.201262574181218,-0.08211917523520196
71,23.688824930394404,28.90514319621715,-0.0733909766261247
72,23.490842582202347,28.711093921865928,-0.07230630402166352
73,23.27635615413565,28.415622475662655,-0.0632663962928845
74,23.592388150167707,28.777517135133913,-0.07308912806686965
75,23.83905658831054,29.06094779408061,-0.07586585476526617
76,23.739010761789537,28.93644332821125,-0.07684316772029741
77,23.689170671595257,28.852921433054064,-0.07115603648076985
78,23.498994222407852,28.59878589817976,-0.06411975265756947
79,23.154367881643626,28.212457431882736,-0.05362381149486235
80,23.044259971545713,28.055464562604453,-0.05071121106183208
81,22.906426021835678,27.82009628783934,-0.03841558610020723
82,23.164150554600944,27.968593648078055,-0.030064037372034433
83,23.231864471118477,28.0110989242031,-0.03210489053029352
84,23.158252474916168,27.866262229180485,-0.026946381851081936
85,23.038154633719582,27.676813210957057,-0.019832069191423735
86,22.977043192786923,27.60214890406478,-0.01619933756565136
87,22.921765071199882,27.551132730673203,-0.009916113807463168
88,23.15819201194253,27.89138794351069,-0.020361910925856146
89,23.293274748387617,28.074718785572255,-0.032713153783419276
90,23.26243788822288,27.937671229966163,-0.024271632175102056
91,23.297851201233374,27.872864065366695,-0.014615010017400468
92,23.547024986931618,28.27969387508553,-0.03083195014481954
93,23.46979558449959,28.207070527262054,-0.03355417732167957
94,23.53274879231706,28.1477172665595,-0.022471199175673657
95,23.67189168428648,28.34756808569553,-0.02779095798726742
96,23.50064016707252,28.175677031748325,-0.026225116126049733
97,23.395689266989287,28.015543296021203,-0.01779640893992746
98,23.32024115040772,27.863700568124905,-0.009404010460758576
99,23.19729783782187,27.708407715903036,-0.005099337128738382
